LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO
94017,"COLTEC INDUSTRIES, PHILADELPHIA ELECTRIC",MISALIGNMENT OF TANG ON OVERSPEED GOVERNOR SHAFT CONNECTED TO AIR START DISTRIBUTOR SHAFT,01/14/1994,ml020870011
94018,"BABCOCK AND WILCOX,DUKE POWER",EIGHT STEAM GENERATOR PLUGS FOUND IN REACTOR COOLING SYSTEM,01/12/1994,ml020870012
94019,BABCOCK AND WILCOX,LIST OF NUCLEAR PLANT SITES WITH MECHANICAL PLUGS INSTALLED DURING PAST FIVE YEARS,01/18/1994,Proprietary
94020,NAMCO CONTROLS,NORMALLY CLOSED CONTACTS OF LIMIT SWITCH EA180-32302 WOULD NOT CONSISTENTLY RETURN TO INITIAL POSITION AFTER ACTUATION,01/07/1994,9401140019
94021,"CAROLINA POWER AND LIGHT, NORTHERN STATES POWER",IMPROPER LUGGING OF WIRE TERMINATIONS ON TYPE K600 AND 800 SERIES CIRCUIT BREAKERS,12/22/1993,9401120008
94022,"COLTEC INDUSTRIES, VIRGINIA ELECTRIC AND POWER",AIR START DISTRIBUTOR CAM CRACKING IN EMERGENCY DEISEL GENERATOR,01/21/1994,9402090063
94023,NAMCO CONTROLS,NORMALLY CLOSED CONTACTS OF LIMIT SWITCH EA180-32302 WOULD NOT CONSISTENTLY RETURN TO INITIAL POSITION AFTER ACTUATION,01/24/1994,9402080141
94024,"WESTINGHOUSE, ANCHOR/DARLING, ARIZONA PUBLIC SERVICE",CHECK VALVES CAN NOT PREVENT UPWARD MOVEMENT OF HINGE RING AS DESIGNED BECAUSE BONNET DOWELS ARE TOO SHORT,12/21/1993,ml020910043
94025,"TEXAS UTILITIES GENERATING, PACIFIC AIR PRODUCTS",FAILURE OF BOLTS ON GRAVITY DAMPERS FOR EMERGENCY DEISEL GENERATOR ROOM VENT FAN,01/19/1994,ml020870015
94026,"CONAX BUFFALO, WESTINGHOUSE",POTENTIALLY INADEQUATE CONDUCTOR CRIMPING IN QUICK DISCONNECT APPLICATIONS,01/19/1994,ml020870017
94027,"COMMONWEALTH EDISON,C AND S VALVE",DEGRADATION OF VITON SEALS ON SEVERAL CLASSES OF CHECK VALVES,10/29/1993,9311010221
94028,"NIAGARA MOHAWK POWER,MINE SAFETY APPLIANCES",FAILURE OF CHARCOAL FILTER ABSORBERS TO LIMIT BYPASS LEAKAGE TO 005 PERCENT,10/13/1993,9310200224
94029,"NORTHEAST NUCLEAR ENERGY, LIMITORQUE",NONRELEASE OF BRAKES ON VALVE OPERATORS IN UNDERVOLTAGE CONDITION,11/23/1993,9312060029
94030,"PACIFIC GAS AND ELECTRIC, WESTINGHOUSE",POTENTIALLY NONCONSERVATIVE HEAT FLUX HOT CHANNEL FACTOR PENALTY,10/18/1993,9310290084
94031,"PACIFIC GAS AND ELECTRIC, WESTINGHOUSE",MANUAL BLOCK VALVES INSTALLED DOWNSTREAM OR UPSTREAM OF RELIEF VALVES DO NOT CONFORM TO ASME SECTION III,10/19/1993,9310280151
94032,ROSEMOUNT,"UNQUALIFIED GASKET MATERIAL SUPPLIED WITH 177HW RESISTANCE TEMPERATURE DETECTOR ASSEMBLY, PART NUMBER C09996- 0001",11/05/1993,9311160079
94033,BOEING COMPUTER SERVICES,NUPIPE-II CODE ERROR,12/07/1993,9312160234
94034,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,12/16/1993,9312280082
94035,"TENNESSEE VALLEY AUTHORITY, TARGET ROCK, WYLE LABORATORIES",POTENTIAL CORROSION BONDING AT DISC TO SEAT INTERFACE ON SIX MAIN STEAM SAFETY RELIEF VALVES,04/22/1993,9304260154
94036,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,01/11/1994,9401250106
94037,"NAMCO CONTROLS, COMMONWEALTH EDISON",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,02/02/1994,9402070327
94038,"GEORGIA POWER, PULLMAN POWER PRODUCTS",REQUESTED INFORMATION ON ASME CLASS I BLOCK FORGED TEES INSTALLED AT VOGTLE,01/14/1994,9401250006
94039,TELEDYNE THERMATICS,POSSIBLE TESTING DEVIATIONS FROM PURCHASE ORDER OF CERTAIN WIRE AND CABLE PRODUCTS,01/25/1994,9402020029
94040,"GENERAL ELECTRIC, GEORGIA POWER, NIAGARA MOHAWK POWER",POSSIBLE FAILURE OF CR120 RELAYS,02/17/1994,ml020870020
94041,"ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT, BBC BROWN BOVERI","C5 RELAY IN CONTROL ROD ACTUATION SYSTEM FAILED OPEN, CAUSING ROD INSERTION",12/31/1993,Proprietary
94042,"WASHINGTON PUBLIC POWER, BORG-WARNER",UNDERSIZED MOTOR OPERATED VALVE ACTUATOR,02/22/1994,ml020910233
94043,CONAX BUFFALO,POTENTIALLY INADEQUATE CONDUCTOR CRIMPING IN QUICK DISCONNECT APPLICATIONS,02/18/1994,ml020870021
94044,WESTINGHOUSE,POTENTIAL SAFETY ISSUE INVOLVING OPERATION OF PLANT WITH REDUCED NUMBER OF MAIN STEAM SAFETY VALVES AT REDUCED POWER,02/16/1994,9402140314
94045,"GENERAL PUBLIC UTILITIES, ROSEMOUNT",REACTOR COOLANT SYSTEM THERMOWELLS DO NOT MEET ALLOWABLE STRESS LIMITS PER ASME SECTION III,02/23/1994,ml020910245
94046,GENERAL ELECTRIC,FAILURE OF CYLINDER LOCK SELECTOR SPRING TO RETURN TYPE CR2940 SWITCH TO ORIGINAL POSITION,02/08/1994,9402170052
94047,SCIENCE APPLICATIONS INTERNATIONAL,IMPROPER ASSEMBLY OF LIQUID CRYSTAL DISPLAY TO BACK PLANE OF GROUP ROD INDICATOR DISPLAY,02/11/1994,9402170121
94048,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,02/09/1994,9402170070
94049,"DEPARTMENT OF ENERGY, WESTINGHOUSE","FAILURE OF THREE SEALED 600 VOLT, 3-POLE, 15 AMP AND 700 AMP CIRCUIT BREAKERS",02/04/1994,ml020870024
94050,"NEW YORK POWER AUTHORITY, INTERSTATE STEEL, TIOGA PIPE SUPPLY",PURCHASE AND RECEIPT OF SEISMIC CATEGORY I PIPING FROM UNQUALIFIED VENDOR,02/28/1994,ml020870028
94051,"DUKE POWER, KEROTEST",EXCESSIVE LEAKAGE FROM REACTOR COOLANT PUMP SEAL SUPPLY THROTTLE VALVE DUE TO FAILURE OF PACKING GLAND STUDS,02/03/1994,9402180066
94052,"NUCLEAR REGULATORY COMMISSION,BBC BROWN BOVERI, INDIANA AND MICHIGAN ELECTRIC",INTERMITTENT FAILURE OF VARIOUS PROCESS CONTROL UNITS DUE TO DEFICIENCIES IN ELECTRICAL SOCKETS,09/30/1993,9310050161
94053,"CONSOLIDATED EDISON, WESTINGHOUSE",NOTRUMP COMPUTER CODE MODELING OF SAFETY INJECTION FLOW IN SMALL BREAK LOSS OF COOLANT ACCIDENT,10/20/1993,9310270153
94054,"IOWA ELECTRIC LIGHT AND POWER, GENERAL ELECTRIC",LOWERING OF RESIDUAL HEAT REMOVAL PUMP IMPELLER AND SHAFT DUE TO NUT AND WASHER MISMATCH AFTER OVERHAUL,03/01/1994,ml020870032
94055,COOPER ENERGY,CRACKING ON PORTION OF SUBCOVER ON WHICH ARE MOUNTED INTAKE AND EXHAUST ROCKER SHAFTS,02/21/1994,9403110242
94056,"NAMCO CONTROLS, COMMONWEALTH EDISON",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,03/02/1994,9403100007
94057,WHITING,SIGNIFICANT OVERSTRESS ON BOLTED CONNECTION POINTS OF TROLLEY MAIN HOIST COMPONENTS AND OVERSTRESS CONDITION OF STRUCTURAL COMPONENTS IN GIRDER ENDS,03/02/1994,ml020870034
94058,"ARIZONA PUBLIC SERVICE, VALCOR ENGINEERING",CRACKS IN BODY OF TWO SOLENOID OPERATED SAMPLING VALVES FOR REACTOR COOLING SYSTEM HOT LEGS,03/02/1994,ml020930210
94059,"GENERAL PUBLIC UTILITIES, LIMITORQUE",PAINT IN MACHINED HOLE AND USE OF A HAMMER TO TAP LEVER ONTO ITS SHAFT DURING REPLACEMENT OF MANUAL DECLUTCH LEVERS IMPAIRED ELECTRICAL OPERATION OF EIGHT VALVE ACTUATORS,12/13/1993,9312200319
94060,"COMMONWEALTH EDISON, CRANE",FAILURE OF INBOARD REACTOR CORE ISOLATION COOLING SYSTEM STEAM ISOLATION VALVE TO CLOSE,03/05/1994,ml020910334
94061,TEXAS UTILITIES GENERATING,BOLTING FAILURES IN GRAVITY DAMPERS,02/16/1994,9403020022
94062,"SORRENTO ELECTRONICS, NEW YORK POWER AUTHORITY",MEMORY STACK LOCATIONS IN MICROPROCESSORS FOR WIDE RANGE GAS MONITOR CAN OVERWRITE A PRESET STACK SIZE LIMIT,02/08/1994,9402160303
94063,"WHITTAKER, NORTHERN STATES POWER",INADEQUATE SENSITIVITY OF HYDROGEN SENSORS IN CONTAINMENT ATMOSPHERE MONITORING SYSTEM,02/03/1994,9402160313
94064,WOLF CREEK NUCLEAR OPERATIONS,SHORT CIRCUIT OF INDICATING LAMPS CAUSE LOSS OF CHARGING PUMP ROOM COOLER,02/02/1994,9402100130
94065,COMMONWEALTH EDISON,HIGH TEST FRICTION RESULTS INDICATE HIGH PRESSURE COOLANT INJECTION VALVES WILL NOTFULLY CLOSE ON BLOWDOWN,03/09/1994,ml020910338
94066,"FURMANITE AMERICA, ARIZONA PUBLIC SERVICE",RESULTS OF MAIN STEAM SAFTEY VALVE TESTING,03/08/1994,ml020870037
94067,"COLTEC INDUSTRIES, VIRGINIA ELECTRIC AND POWER",AIR START DISTRIBUTOR CAM CRACKING IN EMERGENCY DEISEL GENERATOR,01/21/1994,9402090063
94068,"SOUTHERN CALIFORNIA EDISON, METER DEVICES",FAILURE OF EMERGENCY DEISEL GENERATOR ROTO TEST SWITCH DUE TO SHEARING OF SWITCH CONNECTIONS BY BOLT HEAD,01/25/1994,ml020870042
94069,"COMMONWEALTH EDISON, FURMANITE AMERICA",RESULTS OF MAIN STEAM SAFTEY VALVE TESTING,03/10/1994,ml020910341
94070,"SOUTH CAROLINA ELECTRIC AND GAS, COLTEC INDUSTRIES, MAGNETROL INTERNATIONAL",LEVEL SWITCHES FOR EMERGENCY DEISEL GENERATOR DAY TANKS MAY NOT BE SEISMICALLY QUALIFIED,02/09/1994,ml020910344
94071,"ILLINOIS POWER, WESTINGHOUSE",FAILURE OF SHUTDOWN SERVICE WATER PUMP TO RECLOSE ON RESTORATION OF BUS VOLTAGE DUE TO FAILURE OF ANTI-PUMP COIL TO DROP OUT ON INITIAL BREAKER TRIP,11/19/1993,9312080036
94072,WESTINGHOUSE,EVALUATION OF SMALL BREAK LOSS OF COOLANT ACCIDENT BURST AND BLOCKAGE MODELS,02/25/1994,9403090195
94073,"PACIFIC GAS AND ELECTRIC, FURMANITE AMERICA",MAIN STEAM SAFETY RELIEF VALVES OUTSIDE NOMINAL SETPOINTS,03/12/1994,ml020910347
94074,"GENERAL PUBLIC UTILITIES, ROSEMOUNT",REACTOR COOLANT SYSTEM THERMOWELLS DO NOT MEET ALLOWABLE STRESS LIMITS PER ASME SECTION III,02/23/1994,ml020910349
94075,"COMMONWEALTH EDISON, PARKER HANNIFIN","POSSIBILITY THAT SOME PNEUMATIC CYLINDERS, USED AS SECONDARY CONTAINMENT DAMPER ACTUATORS, COULD FAIL DUE TO ADDITION OF ANTI- OXIDANT INSTEAD OF GREASE",03/09/1994,Not Available
94076,"BOSTON EDISON, LIMITORQUE",FAILURE OF HIGH PRESSURE COOLANT INJECTION MOTOR OPERATED VALVE IN CLOSED POSITION DUE TO SHEARING OF TORQUE SWITCH ROLL PIN IN SMB-0 ACTUATOR,03/14/1994,Not Available
94077,"WISCONSIN ELECTRIC POWER, WESTINGHOUSE",FAILURE OF TYPE HFA 30 AMP MOLDED CASE CIRCUIT BREAKERS TO MEET TRIP TIME REQUIREMENTS,12/20/1993,9312300171
94078,"WISCONSIN ELECTRIC POWER, SQUARE D",FAILURE OF STLO-2 RELAY IN STARTING CIRCUIT OF EMERGENCY DEISEL GENERATOR DUE TO STICKY RESIDUE ON PLUNGER,12/22/1993,9401040256
94079,"NEW YORK POWER AUTHORITY, WESTINGHOUSE",MINIMUM TEMPERATURE FOR CRITICALITY IS 450 F IN TECHNICAL SPECIFICATIONS BUT 540 F IN SAFETY ANALYSIS,12/01/1993,9312080166
94080,"GEORGIA POWER, DRESSER INDUSTRIES",EXCESSIVE SENSITIVITY OF SPEED MONITOR FOR TURBINE DRIVEN AUXILIARY FEEDWATER PUMP TO NOISE RIPPLES IN 125V DC POWER SUPPLY,11/18/1993,9311300065
94081,"PORTLAND GENERAL ELECTRIC, PARKER PACKING",INAPPROPRIATE OR DEGRADED SEALS IN CONTAINMENT ELECTRICAL PENETRATION ASSEMBLIES,12/22/1993,9401060376
94082,"CONNECTICUT YANKEE ATOMIC POWER, LIMITORQUE, ANCHOR/DARLING",HIGH TEST FRICTION RESULTS INDICATE HIGH PRESSURE COOLANT INJECTION VALVES WILL NOTFULLY CLOSE ON BLOWDOWN,01/03/1994,9401140128
94083,"DUKE POWER, WESTINGHOUSE",POSSIBILITY OF VAPOR BINDING OF RESIDUAL HEAT REMOVAL PUMPS DURING ACCIDENT CONDITIONS DUE TO LACK OF COOLING OF SUCTION PIPING,12/11/1993,9312200202
94084,FURMANITE AMERICA,RESULTS OF MAIN STEAM SAFTEY VALVE TESTING,03/16/1994,9403300181
94085,"COMPUTER PRODUCTS, COMBUSTION ENGINEERING",ANOMALIES CAN OCCUR ABOVE AMBIENT TEMPERATURE OF 90 F FOR UNIVERSAL CONTROLLER INTERFACE CARD,03/07/1994,9403160145
94086,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE",DETACHMENT OF BURNABLE POISON RODLETS,03/17/1994,ml020930231
94087,"NAMCO CONTROLS, COMMONWEALTH EDISON",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,03/17/1994,9403180144
94088,"COMPUTER PRODUCTS, COMBUSTION ENGINEERING",ANOMALIES CAN OCCUR ABOVE AMBIENT TEMPERATURE OF 90 F FOR UNIVERSAL CONTROLLER INTERFACE CARD,03/07/1994,9403160131
94089,"PUBLIC SERVICE ELECTRIC AND GAS, BBC BROWN BOVERI",CRACK INDICATIONS IN SIX CR-82 CONTROL ROD BLADES,03/21/1994,ml020930239
94090,XOMOX,POSSIBLE SUPPLY OF TUFLINE VALVES WITH DIAPHRAGM SEALS MADE OF LOW DENSITY POLYETHYLENE RATHER THAN ULTRAHIGH MOLECULAR WEIGHT POLYETHYLENE,03/11/1994,9403170240
94091,"PUBLIC SERVICE ELECTRIC AND GAS, CANADA-ALLIED DIESEL",CRACKING OF CYLINDER LINERS IN EMERGENCY DIESEL GENERATORS AS NOTED BY JACKET WATER LEAKS,12/30/1993,9401110199
94092,"NORTHEAST UTILITIES,GENERAL ELECTRIC",REDUCTION OF EXPECTED SERVICE LIFE OF DURALIFE MODEL 120 AND 140 CONTROL RODS DUE TO CREVICE CORROSION CRACKING,03/22/1994,ml020930248
94093,"HOUSTON LIGHTING AND POWER, GENERAL ELECTRIC, THERMO DISC",AUTO START OF STANDBY DEISEL GENERATOR DUE TO FAILURE OF TRANSISTOR CAUSING DEGRADATION OF VARISTORS,11/18/1993,9312010222
94094,LIMITORQUE,"TORQUE SWITCH FAILURES IN SMB, SB, SBD 0, 2, 3, 4, 4T, 5, 5T AND 5XT VALVE ACTUATORS DUE TO ROLL PIN SHEARING",03/23/1994,9403280164
94095,"NORTHERN STATES POWER,KLOCKNER-MOELLER","POOR CORRELATION BETWEEN MAGNETIC TRIP DIAL SETTING AND ACTUAL TRIP SETPOINT FOR CLASS 1E MOLDED CASE CIRCUIT BREAKER, MODEL ZM6-33-200",03/24/1994,ml020910351
94096,"GEORGIA POWER, STERNS ROGER",FAILURE OF AXLE ON A REFUELING BRIDGE CRANE CAUSED A WHEEL TO FALL OFF,03/24/1994,ml020930257
94097,"ENTERGY OPERATIONS, BABCOCK AND WILCOX",FAILURE OF INCONEL 690 STEAM GENERATOR PLUG THAT WAS INSTALLED IN 1991,03/24/1994,ml020950473
94098,"PACIFIC GAS AND ELECTRIC, UNITED ELECTRIC CONTROLS",UNPLANNED MAIN TURBINE ACCELERATION DURING SHUTDOWN PARTIALLY DUE TO STICKING AND GALVANIC CORROSION OF PS-22B AUTO STOP PRESSURE SWITCH,02/08/1993,9302180070
94099,"COMSIP,PUBLIC SERVICE ELECTRIC AND GAS, MICROSWITCH",INTERNAL RESISTIVE HEAT DAMAGE TO SERIES PTW-5300 MICROSWITCHES,03/02/1994,9403100324
94100,"MAINE YANKEE ATOMIC POWER, GENERAL ELECTRIC",FAILURE OF HIGH PRESSURE SAFETY INJECTION CIRCUIT BREAKER TO CLOSE DURING TESTING DUE TO PARTIAL DETACHMENT OF LIMIT SWITCH,03/28/1994,ml020930262
94101,"CAROLINA POWER AND LIGHT, POTTER AND BRUMFIELD, LOUISIANA POWER AND LIGHT",EXCESSIVE END PLAY OF SHAFTS ON MOTOR DRIVEN RELAYS DUE TO OVERSIZED COILS,03/16/1994,9403280205
94102,"SOUTH CAROLINA ELECTRIC AND GAS, MAGNETROL INTERNATIONAL",FUEL OIL DAY TANK LEVEL SWITCHES NOT SEISMICALLY QUALIFIED,03/11/1994,9403280195
94103,"ENTERGY OPERATIONS, AUTOMATIC SWITCH COMPANY, GENERAL ELECTRIC",SLOW CONTROL ROD DRIVE SCRAM TIMES,03/29/1994,ml020930266
94104,"WASHINGTON PUBLIC POWER, GENERAL ELECTRIC",EMBRITTLEMENT FAILURE OF BUNA-N RUBBER DIAPHRAGM IN SOLENOID PILOT VALVE CAUSES FAILURE TO SCRAM OF ONE CONTROL ROD AND SLOW INSERTION OF OTHER RODS,03/30/1994,ml020930271
94105,"HOUSTON LIGHTING AND POWER, WESTINGHOUSE",CALCULATION ERROR FOR INITIATION OF HOT LEG RECIRCULATION,03/01/1994,ml020910352
94106,"BALTIMORE GAS AND ELECTRIC,VELAN VALVE",RECEIPT OF UNDERSIZED REPLACEMENT ANTI-ROTATION KEYS FOR 6 INCH MOTOR OPERATED GLOBE VALVES,04/01/1994,ml020870049
94107,"NAMCO CONTROLS, COMMONWEALTH EDISON",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,03/31/1994,9404010227
94108,BOEING COMPUTER SERVICES,GTSTRUDL SOFTWARE ERROR,03/23/1994,9403290255
94109,WESTINGHOUSE,APPARENT LACK OF FUSION IN REACTOR VESSEL HEAD ADAPTOR PENETRATION ATTACHMENT WELDS,03/24/1994,9404010216
94110,"COMMONWEALTH EDISON, WESTINGHOUSE, AVX",FAILURE OF POWER SUPPLIES USED IN EAGLE-21 REACTOR PROTECTION SYSTEM DUE TO CAPACITOR FAILURE,04/08/1994,9404150055
94111,"COMMONWEALTH EDISON, WESTINGHOUSE, DOUGLAS-RANDALL",FAILURE OF POWER SUPPLIES USED IN EAGLE-21 REACTOR PROTECTION SYSTEM DUE TO CAPACITOR FAILURE,04/08/1994,9404130088
94112,LIMITORQUE,BRITTLE FAILURE OF LUGS FOR WORM SHAFT CLUTCH OF SMB/SB/SBD OPERATORS,04/08/1994,9404130112
94113,"IOWA ELECTRIC LIGHT AND POWER, GENERAL ELECTRIC",LOWERING OF RESIDUAL HEAT REMOVAL PUMP IMPELLER AND SHAFT DUE TO NUT AND WASHER MISMATCH AFTER OVERHAUL,03/28/1994,9404070029
94114,"COMMONWEALTH EDISON, ELECTRO SWITCH","POTENTIAL FOR EMERGENCY DEISEL GENERATOR TO NOT START ON AUTO-START SIGNAL DUE TO OVERROTATION OF ""LOCAL REMOTE"" CONTROL POWER SWITCH",04/12/1994,ml020910354
94115,DEPARTMENT OF ENERGY,FAILURE OF RELAY CONTACT IN TRIP COIL CONTROL OF NORMAL SUPPLY CIRCUIT BREAKER FOR EMERGENCY DEISEL GENERATOR DUE TO DIRTY SEQUENCE TIMER AND WEAK TRIP BAR SPRING,03/12/1994,ml020870052
94116,"VELAN VALVE, BALTIMORE GAS AND ELECTRIC",RECEIPT OF UNDERSIZED REPLACEMENT ANTI-ROTATION KEYS FOR 6 INCH MOTOR OPERATED GLOBE VALVES,04/13/1994,ml020870027
94117,"NEBRASKA PUBLIC POWER DISTRICT, ROSEMOUNT",OMISSION OF STATIC PRESSURE SHIFT CALIBRATION ADJUSTMENT FOR MODEL 1151 PRESSURE TRANSMITTER IN DETERMINATION OF THERMAL POWER,04/12/1994,ml020920283
94118,"COMMONWEALTH EDISON, CALIFORNIA INSTRUMENTS",INADEQUATE SETPOINT CALIBRATION FOR DEGRADED VOLTAGE RELAYS,04/13/1994,ml020910356
94119,"NAMCO CONTROLS, COMMONWEALTH EDISON",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,04/15/1994,9404210117
94120,"DEPARTMENT OF ENERGY, WESTINGHOUSE",VOLTAGE SWINGS CAUSED BY LARGE LOADS TIED TO STANDBY EMERGENCY DIESEL GENERATOR DURING START MAY TRIP MOTORS,03/25/1994,ml020870031
94121,"WESTINGHOUSE, DUKE POWER",LACK OF PROPER TESTING OF CONTAINMENT SPRAY SYSTEM DUE TO OMISSION IN PROCEDURE,04/08/1994,ml020870043
94122,"HOUSTON LIGHTING AND POWER, COOPER ENERGY",FAILURE OF STUDS ON FUEL INJECTION PUMP,04/19/1994,ml020930290
94123,"NEW YORK POWER AUTHORITY, WESTINGHOUSE",DELAY OF 5-6 SECONDS IN RECLOSING TYPE DS-416 CIRCUIT BREAKER FOR RECHARGE OF CLOSING SPRING PREVENTS START OF SAFETY INJECTION BECAUSE PUMP AUTO START SIGNAL OCCURS IN 3 SECONDS,02/15/1994,ml020910372
94124,"NEW YORK POWER AUTHORITY, WESTINGHOUSE",DELAY OF 5-6 SECONDS IN RECLOSING TYPE DS-416 CIRCUIT BREAKER FOR RECHARGE OF CLOSING SPRING PREVENTS START OF SAFETY INJECTION BECAUSE PUMP AUTO START SIGNAL OCCURS IN 3 SECONDS,04/05/1994,9404120266
94125,"NEW YORK POWER AUTHORITY, GENERAL ELECTRIC",CURRENT LIMITING ISOLATION RESISTORS TO PROTECT AGAINST HOT SHORTS IN THE REACTOR PROTECTION SYSTEM SCRAM STATUS INDICATING LIGHTS NOT PROPERLY LOCATED IN THEIR RESPECTIVE SCRAM CONTACTOR BOXES,03/15/1994,9404190115
94126,"COMMONWEALTH EDISON, NAMCO CONTROLS",OPERATING LEVERS IN EA740 AND EA750 SERIES LIMIT SWITCHES WOULD NOT RETURN TO INITIAL POSITION AFTER ACTUATION,05/02/1994,9405060006
94127,BORG-WARNER,EVALUATION OF FRICTION FACTOR FOR 6 INCH GATE VALVE,04/12/1994,9404210037
94128,"BALTIMORE GAS AND ELECTRIC,VELAN VALVE",RECEIPT OF UNDERSIZED REPLACEMENT ANTI-ROTATION KEYS FOR 6 INCH MOTOR OPERATED GLOBE VALVES,04/26/1994,9405020318
94129,COMPUTER PRODUCTS,THERMAL AGING PROBLEMS WITH DIGITAL AND ANALOG LOOPBACK AND CALIBRATION CARD,04/18/1994,9405020174
94130,"MORRISON- KNUDSEN, WESTINGHOUSE",CONTACT CHATTER OF TYPE SV PLUNGER TYPE RELAY DURING SEISMIC ACCELEROMETER TEST,04/26/1994,9405100149
94131,"WASHINGTON PUBLIC POWER, WESTINGHOUSE",CRACKING OF COIL SUPPORT INSULATORS IN CLASS IE AND NON- CLASS IE DRY TYPE POWER TRANSFORMERS,06/10/1991,9106180024
94132,"WESTINGHOUSE, PACIFIC GAS AND ELECTRIC",CRACKING OF COIL SUPPORT INSULATORS IN CLASS IE AND NON- CLASS IE DRY TYPE POWER TRANSFORMERS,05/05/1994,ml020870047
94133,"PENNSYLVANIA POWER AND LIGHT, CARDINAL INDUSTRIAL",CRACKS IN SEVERAL 1 INCH ASME CLASS 18UNC HEXAGONAL BOLTS,04/19/1994,9404220229
